Pre Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm,genre_clean
Ayee Ladies ,Travis Potter,96,,hip-hop,,-4.0,4/4,hip hop
Killen you hoes,Trina,91,,hip-hop,,-6.0,4/4,hip hop
Freakum dress,Beyonce,99,,r&b,,-5.0,4/4,r&b
Get it Sexyy,Sexy Red,145,,hip-hop,,-6.0,4/4,hip hop
Where have you been,Rhianna,128,,pop,,-6.0,4/4,pop
EoO,Bad Bunny,64,,reggaeton,,-30.0,"4/4 beat, but vocals are sang in 6/4",latin music
No Broke Boys,Tinashe,104,,electro,,-7.0,4/4,electronic
Papacito,Karol G,117,,tencho-merengue,,-3.0,mixed answers,latin music
Break Free,Zedd/ ariana grande,130,,edm,,-5.0,4/4,electronic
No hands ,Waka Flocka,131,,hip-hop,,-6.0,mixed,hip hop
OMG,Usher/ Will.I.am,130,,pop,,-6.0,4/4,pop
DtMF,Bad Bunny,136,,reggaeton,,-27.0,4/4,latin music
Luther,Kendrink/Sza,138,,r&b,,-8.0,4/4,r&b
Man I need ,Olivia Dean,119,,pop,,-7.0,4/4,pop
Raindance,tems and dave,107,,hip-hop,,-7.0,mixed,hip hop
"girl, get up. ",doechii/Sza,93,,hip-hop,,-7.0,4/4,hip hop
hangang ,hoody,109,,r&b,,-6.0,4/4,r&b
The exit,Conan Gray,82,,pop,,-10.0,4/4,pop
In my Room ,Julia Wolf,160,,alternative,,-5.0,4/4,alternative
Let Down,Radiohead,102,,rock,,-9.0,4/4,metal/rock
Would you fall in love with me again,epic the musical ,148,,musical theater,,-7.0,4/4,pop
she will be loved ,Maroon 5,102,,pop,,-6.0,4/4,pop
Trap queen,Fetty Wap,148,,hip-hop,,-4.0,4/4,hip hop
Roses,Chainsmokers,100,,pop,E Major,-7.0,4/4,pop
Clarity ,Zedd,128,,house,Ab Major,-3.0,4/4,electronic
Passionfruit,Drake,112,,r&b,,-11.0,4/4,r&b
Love me Harder,ariana Grande,99,,pop,,-4.0,4/4,pop
High life,Daft Punk,125,,house,,-9.0,4/4,electronic
We are people ,Empire of the sun,123,,pop,,-5.0,4/4,pop
Stockholm Syndrome,Muse,128,,alternative metal,,-5.0,4/4,alternative
Loving machine,TV girl,90,,pop,,-10.0,4/4,pop
La puerta,Luis Miguel,82,,bolero,,,4/4,latin music
Sorry,Justin Bieber,100,,pop,,-4.0,4/4,pop
Theres nothing holdin' me back,Shawn Mendez,122,,pop,,-4.0,4/4,pop
Promises,Calvin Harris,123,,house,,-6.0,4/4,electronic
Be the one,Dua Lipa,175,,pop,,-4.0,4/4,pop
Baby se nota,Milo Mae,90,,dembow,,-5.0,4/4,latin music
Talking body,Tove Lo,120,,pop,,-5.0,4/4,pop
Best to you,Blood Orange,125,,pop,,-9.0,12/8 or 4/4 with strong triplets,pop
One night only,Sonder,120,,r&b,,-6.0,4/4,r&b
Cant get over you,Joji,130,,r&b,,-9.0,4/4,r&b
Time of our Lives ,Pitbull,124,,pop,,-6.0,4/4,pop
Kiss me thru the phone,Soulja Boy,150,,pop,,-4.0,4/4,pop
everything is embarassing,Sky Ferreira,117,,pop,,-6.0,4/4,pop
Von Dutch,Charli XCX,130,,house,,-6.0,4/4,electronic
Intentalo,3BallMTY,132,,tribal,A Major,-5.0,4/4,latin music
stateside,Pink Panthress,123,,breakbeat,,-6.0,4/4,electronic
Poster Boy,2hollis,111,,pop,,-1.0,4/4,pop
Irreplaceable,Beyonce,176,,r&b,,-5.0,4/4,r&b
Can't remember to forget you,Shakira/Rhianna,138,,pop,,-4.0,4/4,pop
inolvidable,Reik,140,,pop,,-4.0,4/4,pop
chantaje ,Shakira/Maluma,102,,pop,,-3.0,4/4,pop
You,Romeo Santos,132,,bachata,,-8.0,4/4,latin music
On Melancholy Hill,Gorillaz,120,,pop,,-6.0,4/4,pop
Head in a Jar,khamari,110,,r&b,,-7.0,4/4,r&b
Someone to Call my Lover,Janet Jackson,128,,r&b,,-4.0,4/4,r&b
House Tour,Sabrina Carpenter,118,,pop,,-5.0,4/4,pop
Last Night,Ricky Montgomery,138,,rock,,-4.0,4/4,metal/rock
So Hot you're hurting my feelings,Caroline Polachek,112,,pop,,-5.0,4/4,pop
Stacy's Mom,Fountains of Wayne,118,,pop,,-5.0,4/4,pop
i'll take it,sohia stel,130,,dance/electronic,,-10.0,4/4,electronic
27a pitfield st,bass victim,129,,pop,,-3.0,4/4,pop
been like this,doja cat,99,,r&b,,-5.0,4/4,r&b
like a taxi,cece natalie,101,,pop,,-9.0,4/4,pop
21+,slyy stone,153,,trap,,-6.0,unknown,hip hop
g-rave,jake shore / rockie fresh / cyndee with a c,158,,dance/electronic,,-6.0,4/4,electronic
klatch,apaki,150,,dance/electronic,,-2.0,4/4,electronic
photo ID,remi wolf / dominic fike,116,,r&b,,-5.0,4/4,r&b
tit for tat,tate mcrae,84,,trap,,-5.0,4/4,hip hop
sticky,"tyler, the creator",80,,hip-hop,,-4.0,4/4,hip hop
denial is a river,doechii,93,,boom bap,,-3.0,4/4,hip hop
i wanna love you,akon / snoop dogg,100,,pop,,-9.0,4/4,pop
nissan altima,doechii,117,,hip-hop,,-5.0,4/4,hip hop
a couple minutes,olivia dean,125,,pop,,-8.0,4/4,pop
who knows,daniel caesar,121,,r&b,,-15.0,4/4,r&b
garden,SZA,111,,r&b,,-7.0,4/4,r&b
do i wanna know (cover),hozier,137,,rock,,-11.0,4/4,metal/rock
time to pretend,MGMT,101,,indie,,-3.0,4/4,indie
spin bout you,drake / 21 savage,130,,trap,,-6.0,4/4,hip hop
loveeeeeee song,rhianna,120,,r&b,,-6.0,4/4,r&b
danza kuduro,don omar / lucenzo,89,,electronic,,-5.0,4/4,electronic
i love it,icona pop / charli xcx,126,,pop,,-3.0,4/4,pop
22,taylor swift,104,,pop,,-7.0,4/4,pop
golden,huntrx,123,,pop,,-4.0,3/4,pop
idol,BTS,126,,pop,,-3.0,4/4,pop
bleed,malcolm todd / omar opollo,124,,r&b,,-7.0,4/4,r&b
midnight sun,zara larsson,151,,pop,,-5.0,4/4,pop
more than music,mirrar,165,,pop,,-9.0,4/4,pop
easter pink,fakemink,116,,pop,,-7.0,4/4,pop
Cuando no era cantante,el bogueto,166,,reggaeton,,-6.0,4/4,latin music
after hours,kehlani,121,,r&b,,-4.0,4/4,r&b
folded,kehlani,136,,r&b,,-7.0,4/4,r&b
ansiedad,fuerza regida,107,,corridos,,-8.0,3/4,latin music
fue mejor,kali uchis / sza,104,,r&b,,-7.0,4/4,r&b
Ahora Es,winsin / yandel,96,,reggaeton,,-6.0,4/4,latin music
baddie baddie,ice spice,143,,pop,,-7.0,4/4,pop
besame,camila,174,,pop,,-8.0,3/4,pop
big and chunky,will.i.am,120,,pop,,-7.0,4/4,pop
bongos,megan thee stallion / cardi b,122,,rap,,-5.0,4/4,hip hop
california gurls,katy perry,125,,pop,,-4.0,4/4,pop
shots,LMFAO,128,,pop,,-2.0,4/4,pop
time of our lives,pitbull,124,,pop,,-6.0,4/4,pop
don't stop the party,pitbull,127,,pop,,-4.0,4/4,pop
boys a liar pt 2,pink panthress / ice spice,133,,pop,,-8.0,4/4,pop
smokin out the window,silk sonic,82,,pop,,-9.0,4/4,pop
helicopter ,A$AP Rocky,134,,rap,,-4.0,4/4,hip hop
punk rocky,A$AP Rocky,140,,rap,,-4.0,4/4,hip hop
E85,Don Toliver,132,,rap,,-4.0,4/4,hip hop
starships,nicki minaj,125,,pop,,-2.0,4/4,pop
S&M,rhianna,128,,pop,,-5.0,4/4,pop
gimme more,Britney Spears,113,,pop,,-3.0,4/4,pop
maneater,Nelly Furtado,133,,pop,,-5.0,4/4,pop
beat up chanel$,slayyyter,134,,pop,,-5.0,4/4,pop
sexonthebeat,adela,127,,electronic,,-4.0,4/4,electronic
coconut,sailorr,88,,pop,,-11.0,4/4,pop
down bad,sailorr,97,,alternative,,-8.0,4/4,alternative
redo,crankdat,146,,dubstep,,-3.0,4/4,electronic
kiss + touch,rad cat,140,,alternative,,-7.0,4/4,alternative
scene before the kiss xoxo,horsegirrL / himera,160,,indie,,-8.0,4/4,indie
got me started,troye sivan,127,,pop,,-7.0,4/4,pop
just your doll,snow strippers,141,,electroclash,,-2.0,4/4,electronic
just dance,Lady Gaga,119,,pop,,-5.0,4/4,pop
how2fuck,ayesha erotica,123,,pop,,-3.0,4/4,pop
constant repeat,charli xcx,126,,pop,,-6.0,4/4,pop
TiK ToK,Kesha,120,,pop,,-3.0,4/4,pop
tonight,pink panthress ,141,,pop,,-5.0,4/4,pop
no scrubs,TLC,93,,pop,,-4.0,4/4,pop
telephone,Lady Gaga,122,,pop,,-6.0,4/4,pop
perdoname,deorro,128,,pop,,-3.0,4/4,pop
needy,ariana grande,87,,pop,,-8.0,4/4,pop
beso al aire,3BallMTY,132,,regional mexicano,,-4.0,4/4,latin music
better off alone,Alice Deejay,137,,pop,,-6.0,4/4,pop
earrings,Malcolm Todd,80,,pop,,-9.0,4/4,pop
se preparo,ozuna,171,,reggaeton,,-4.0,4/4,latin music
tu name,fuerza regida,129,,banda,,-5.0,3/4,latin music
rubicon,peso pluma,140,,banda,,-7.0,3/4,latin music
cora de hielo,ROZ,130,,edm,,-4.0,4/4,electronic
disturbia,Rhianna,125,,pop,,-5.0,4/4,pop
Her,Megan thee stallion,120,,house,,-5.0,4/4,electronic
from the back ,Ayesha Erotica,128,,rap,,-5.0,4/4,hip hop
Worthy,Megan thee stallion,120,,pop,,-4.0,4/4,pop
the way I are,Timbaland,115,,pop,,-6.0,4/4,pop
Diva,Beyonce,146,,pop,,-7.0,4/4,pop
Rabiosa,Shakira,133,,pop,,-5.0,4/4,pop
You Make Me Feel,Cobra Starship,132,,pop,,-3.0,4/4,pop
Ah We Ah,Ahmed Mounib,80,,pop,,-14.0,4/4,pop
After the Beep,Faye Wong,96,,pop,,-10.0,4/4,pop
Le Le Dine,Ciwan Haco,104,,pop,,-10.0,4/4,pop
