Hosting Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm
F.n.f,glorilla,157,,pop,C# Major,-10,4/4
Gas pedal,sage the gemini,98,,Rap ,C# Major,-8,4/4
back dat azz up,Juvenile / lil wayne,96,,hip-hop,G Major,-7,4/4
the boy is mine,Ariana Grande,98,,pop,G Minor,-6,4/4
Bussin ,Money Bagg,175,,Rap ,D Major,-4,4/4
Candy,Plan B,96,,reggaeton,B Minor,-4,4/4
cyclone ,Baby Bash,78,,pop,B Major,-5,4/4
Illusion ,Ross Lynch,73,,pop,D# Minor,-6,4/4
Baile Inolvidable,Bad Bunny,119,,reggaeton,Bb Major,-46,4/4
Si Antes Te Hubiera Conocideo,Karol G,128,,reggaeton,B Major,-7,4/4
Wont Cry,Amber Mark,120,,R&B,F Minor,-5,4/4
Wired,Ella Eyre,125,,House ,A Minor,-5,4/4
Bouncin',Tinashe,83,,R&B ,C Major,-6,4/4
All the stars,Kendrick / Sza,97,,hip-hop,Ab Major,-5,4/4
Titi me pregunto ,Bad Bunny,107,,reggaeton,F Minor,-5,4/4
Deep in it ,Berlioz,119,,Jazz,D# Minor,-12,4/4
brezzy (inst.),Rollercoaster,200,,Rock ,B Minor,-10,4/4
Invocation ,Phi-psonics,114,,Jazz,E Minor,-13,4/4
Memory box,Peter cat recording co,128,,Indian indie,G Major,-12,4/4
take five ,Dave Brubeck quartet,174,,Jazz,Ab Minor,-13,5/4
clarity,Zedd,128,,EDM,Ab Major,-3,4/4
intentalo,3BallMTY,132,,Tribal Guarachero,A Major,-5,4/4
porque El Amor Manda,America sierra,132,,Regional Mexicano,Bb Minor,-6,4/4
La cumbia Tribalera,El Peron de Mikrophone,134,,Cumbia,C Minor,-6,4/4
Sao Paulo,the Weekend/Anitta,127,,Brazilian Funk,F Minor,-7,4/4
Trap Queen,Fetty Wap,148,,Trap ,G Major,-4,4/4
Roses,Chainsmokers,100,,pop,E Major,-7,4/4
Passionfruit,Drake,112,,R&B ,B Major,-11,4/4
love me harder ,Ariana Grande,99,,pop,C# Minor,-4,4/4
My way,fetty wap,128,,Rap,Gb Major,-3,4/4
maneater,Nelly Furtado,133,,pop,Gb Major,-5,4/4
Sos,Rihanna,137,,pop,G Major,-5,4/4
Kiss me thru the phone,Soulja Boy,150,,pop,G Major,-4,4/4
Rock that Body,Black eyed peas,125,,pop,G Minor,-6,4/4
So Easy ,Olivia Dean,140,,pop,D# Major,-6,4/4
New drop,Don Toliver,120,,Rap,E Minor,-7,4/4
Thats what I like,Bruno Mars,134,,hip-hop,Db Major,-5,4/4
Promiscuous ,Nelly Furtado,114,,pop,Bb minor,-6,4/4
Down,Jay Sean,132,,pop,D Major,-4,4/4
We are the people ,Empire of the sun,123,,pop,E Minor,-5,4/4
My Love,Justin timberlake,120,,R&B ,B Minor,-6,4/4
the way I are,tibaland,115,,pop,Gb Major,-6,4/4
Dare,Gorillaz,120,,pop,B Minor,-6,4/4
Sugar on my Tongue,Tyler the creator,126,,pop,B Major,-7,4/4
Party in the USA,Miley Cyrus,96,,pop,Bb Minor,-5,4/4
California Gurls,Katy Perry,125,,pop,C Major,-4,4/4
Call me maybe,Carly Rae Jepsen,120,,pop,G Major,-7,4/4
Fergilicious,Fergie,129,,pop,Ab Minor,-8,4/4
Toxic,Britney spears,143,,pop,F Minor,-4,4/4
Dashstar,Knock 2,126,,House  ,A Major,-3,4/4
smack talk,ISOxo,140,,EDM,Bb Major,-2,4/4
E85,Don Toliver,132,,Rap,B Minor,-4,4/4
secondhand,Don Toliver,144,,Rap,Ab Minor,-6,4/4
Dont stop the party,Pitbull,127,,pop,E Major,-4,4/4
perdoname,Factoria,95,,reggaeton,A Minor,-6,4/4
Borro cassette,Maluma,176,,reggaeton,F Minor,-6,4/4
si no le contesto,plan b,95,,reggaeton,C# Minor,-5,4/4
I gotta feeling,black eye peas,128,,pop,C Major,-6,4/4
meet me halfway,black eye peas,130,,pop,B Minor,-7,4/4
die young ,kesha,128,,pop,C# Minor,-5,4/4
Donttrustme,30H!3,130,,House,F Minor,-4,4/4
Good time,owl city,126,,pop,Eb Major,-4,4/4
latch,disclosure,122,,pop,C# Major,-5,4/4
doses&mimosas,cherub,122,,pop,F Major,-7,4/4
saving up,dom dolla,130,,House,Eb Minor,-6,4/4
habits,Tove lo,110,,pop,F Major,-4,4/4
gasolina,D Yankee,96,,reggaeton,C Major,-7,4/4
no hands,Waka flocka,131,,pop ,C# Major,-6,4/4
party rock anthem ,LMFAO,130,,pop,F Minor,-4,4/4
yeah!,Usher,105,,hip-hop,D Major,-5,4/4
tiene espinas el rosal,grupo canaveral de humberto pabon,169,,Cumbia,B Minor,-11,4/4
love generattion,,,X,,,,
inolvidable,,,X,,,,
el liston de tu pelo,los angeles azules,81,,Cumbia,B Minor,-8,4/4
20 rosas,los angeles azules,86,,Cumbia,G Major,-8,4/4
pose,D Yankee,117,,reggaeton,,-4,
Fuera Del Planeta ,Randy Nota loca,95,,reggaeton,,-6,
desvelado,Bobby pulido,174,,Cumbia,,-9,
Club classics,charli xcx,145,,pop,,-6,
stay the night,zedd,128,,House,,-3,
crazy ,le Sserafim,130,,pop,,-2,
time of our lives,Pitbull,124,,pop,,-6,
rush ,troye sivan,126,,pop,,-8,
On melancholy Hill,Gorillaz,120,,indie ,,-6,
every breath you take,The police,117,,Rock,,-10,
all I ever asked ,Rachel chinouriri,115,,Rock,,-8,
love is everywhere,Magadalena Bay,90,,indie,,-8,
Lets stay together,Al Green,102,,Soul,,-11,
Caramel ,Conan Gray,101,,indie ,,-4,
Heart of Glass,Blondie,115,,Rock,,-6,
Only girl ,Rihanna,126,,pop,,-4,
feel so close ,calvin harris,128,,pop,,-3,
4k,el-alfa,120,,reggaeton,,-5,
we found love ,rihanna,128,,pop,,-4,
throw sum mo,young thug,142,,hip-hop,,-8,
365,charli xcx,127,,EDM,,-5,
I love it,Icona pop,126,,House,,-3,
dont stop the music,rihanna,123,,pop,,-6,
Fw me,Knock2,,,EDM,,-4,
I got a question,xxtristanxo,132,,pop,,-4,
on again,mau p,130,,House,,-5,
bluest flame,selena gomez,136,,Pop,,-7,
newly,p-lo / thuy,120,, R&B,,-5,
promiscuous,Nelly furtado,114,,pop,,-6,
love me,Lil wayne,125,,Rap,,-6,
EoO,Bad Bunny,64,,reggaeton,,-30,
hotel room service ,Pitbull,126,,pop,,-8,
smokin out the window,Bruno Mars,82,,R&B,,-9,
30 for 30 ,Sza,140,,Rap ,,-10,
runaway,Galantis,126,,EDM ,,-4,
lady killers,g-easy,136,,Rap,,-10,
3 strikes,Terror Jr.,107,,pop,,-6,
girlfriend ,heavy weight,114,,R&B ,,-10,
ribs,Lorde,128,,pop,,-9,
orange soda,,,X,,,,
You belong with me ,Taylor Swift,130,,Pop,,-4,
Titi me pregunto,Bad Bunny,107,,Regional Mexicano,,-5,
Sabor freza,Fuerza Regida,130,,Regional Mexicano,,-5,
si no es contigo,Chris MJ,100,,reggaeton,,-6,
Shiver,John summit,127,,House,,-5,
La cancion ,J Balvin,176,,reggaeton,,-6,
Talk talk ,charli xcx,130,,pop,,-6,
stateside + bladee,pink pantheress,149,,pop,,-5,
music baby,Jane remover,138,,pop,,-7,
bang,illusion hills,131,,pop,,-8,
do it (yves remix),underscores,124,,pop,,-5,
Snap my finger,Kaytranada,118,,House,,-8,
Witchy,Kaytranda,110,,pop,,-8,
Atrevete te te,Calle 13,88,,reggaeton,,-6,
When I come around,Dom Kennedy,98,,hip-hop,,-7,
Anything,Amr Diab,78,,pop,,-6,
,,,,,,,
,Median:,126,,,Median:,-6,
,Max:,200,,,Max:,-2,
,Min:,64,,,Min:,-46,
,Mode:,128,,,Mode:,-6,
,Average/mean:,122.1968504,,,Average/mean:,-6.6328125,