Naturalistic Obsercation Songs,Artist,BPM,No Artist Listed,Genre (r),,Key,Loudness (dB),Rhythm
Oh La La ,Justine Skye and Kaytranada,120,,pop,,D Major,-9,4/4
Millionaire, Andre 3000 and Kelis,176,,R&B ,,B Major,-7,4/4
Inferno ,JMSN,125,,R&B ,,C# Major,-5,4/4
Come Together ,The Internet,96,,Soul,,C Minor,-8,4/4
I'm a Rock,Jitwam,111,,Soul,,C# Major,-7,4/4
Same Damn Time ,Future,70,,Trap ,,B Major,-5,4/4
Clarity ,Zedd,128,,House ,,Ab Major,-3,4/4
Hot in Herre ,Nelly,107,,pop ,,B Minor,-5,4/4
505,Arctic Monkeys,140,,Rock,,C Major,-6,4/4
Come Together ,The Beatles,84,,Rock,,A Minor,-12,4/4
Valerie ,Amy Winehouse,214,,Soul,,F Minor,-8,4/4
Tongue Tied ,Grouplove,113,,indie,,Eb Major,-6,4/4
party ,Bad Bunny,97,,reggaeton,,A Major,-5,4/4
titi me pregunto ,Bad Bunny,107,,reggaeton,,F Minor,-5,4/4
Exesos ,Fuerza Regida,83,,Regional Mexicano,,C Minor,-6,3/4
Que pasaria,Rauw Alejandro,105,,reggaeton,,B Minor,-4,4/4
lokera ,Rauw Alejandro,102,,reggaeton,,B Minor,-3,4/4
la bebe ,Peso Pluma,170,,reggaeton,,D Minor,-6,4/4
Vamo a bailotear ,Cris Mj,98,,reggaeton ,,F# Minor,-11,4/4
Tacata ,Fuerza Regida,105,,Regional Mexicano,,A Major,-6,4/4
Voy a llevarte pa PR ,Bad Bunny,120,,reggaeton,,G Major,-35,4/4
Nuevayol ,Bad Bunny,118,,reggaeton,,F# Major,-20,4/4
Rabiosa ,Shakira,133,,Latin,,,-5,
Yo Quiero,x,,,,,,,
Time of our lives ,Pitbull,124,,Latin,,F# Major,-14,
Nuevayol ,Bad Bunny,118,,Latin,,F# Major,-20,4/4
No Hands,Waka Flaka,132,,Hip Hop,,,-10,
Maneater,Nelly,133,,pop,,,-7,
Sateside,Pink Panterss,123,,pop,,,-6,
EoO,Bad Bunny,102,,Latin,,,-30,